english,french
hello world,bonjour monde
how are you,comment allez vous
what is your name,quel est votre nom
good morning,bon matin
thank you very much,merci beaucoup
have a nice day,bonne journée
see you later,à bientôt
I am fine,je vais bien
where are you from,d'où venez vous
what time is it,quelle heure est il
I love you,je t'aime
good night,bonne nuit
how much does it cost,combien ça coûte
please help me,aidez moi s'il vous plaît
excuse me,excusez moi
I do not understand,je ne comprends pas
can you help me,pouvez vous m'aider
where is the bathroom,où sont les toilettes
what are you doing,que faites vous
nice to meet you,ravi de vous rencontrer
